No.  Insertion  Selection
505     2.409   1.246
506     2.449   1.238
507     2.445   1.242
508     2.477   1.249
509     2.444   1.249
510     2.463   1.292
511     2.465   1.264
512     2.499   1.311
513     2.485   1.278
514     2.511   1.313
515     2.500   1.301
516     2.520   1.299
517     2.555   1.299
518     2.543   1.328
519     2.574   1.312
520     2.558   1.319
521     2.623   1.327
522     2.577   1.297
523     2.625   1.331
524     2.601   1.333
525     2.656   1.342
526     2.615   1.334
527     2.649   1.370
528     2.636   1.393
529     2.658   1.365
530     2.644   1.364
531     2.670   1.344
532     2.675   1.372
533     2.688   1.369
534     2.682   1.379
535     2.716   1.412
536     2.779   2.718
537     6.214   2.785
538     4.821   1.936
539     3.859   1.925
540     3.720   2.045
541     5.937   2.456
542     4.626   2.252
543     5.271   2.940
544     4.381   1.905
545     3.598   2.055
546     3.691   1.801
547     3.588   1.986
548     3.546   1.805
549     3.587   2.014
550     3.479   1.812
551     3.634   1.895
552     3.654   1.851
553     3.636   1.966
554     3.673   2.060
555     3.629   1.903
556     3.691   1.828
557     3.497   1.614
558     3.481   1.595
559     3.048   1.606
560     3.064   1.599
561     3.117   1.566
562     3.096   1.608
563     3.020   1.545
564     3.053   1.551
565     3.115   1.567
566     3.077   1.569
567     3.070   1.582
568     3.110   2.115
569     3.291   1.670
570     3.196   1.623
571     3.104   1.600
572     3.124   1.586
573     3.132   1.592
574     3.151   1.596
575     3.159   1.600
576     3.216   1.607
577     3.175   1.647
578     3.201   1.614
579     3.191   1.621
580     3.189   1.638
581     3.276   1.648
582     3.283   1.695
583     3.266   1.663
584     3.324   1.655
585     3.275   1.653
586     3.342   1.662
587     3.275   1.727
588     3.313   1.687
589     3.356   1.688
590     3.321   1.748
591     3.378   1.741
592     3.344   1.696
593     3.428   1.717
594     3.397   1.731
595     3.456   1.733
596     3.380   1.736
597     3.490   1.733
598     3.423   1.748
599     3.446   1.745
600     3.541   1.759
601     3.484   1.822
602     3.535   1.763
603     3.517   2.083
604     3.488   1.776
605     3.500   1.775
606     3.564   1.781
607     3.543   1.790
608     3.533   1.809
609     3.585   1.795
610     3.761   1.816
611     3.577   1.835
612     3.589   1.828
613     3.664   1.832
614     3.624   1.822
615     3.719   1.869
616     3.881   1.895
617     3.815   1.933
618     3.752   2.117
619     3.729   1.880
620     3.967   1.887
621     3.705   1.886
622     3.758   1.889
623     3.718   1.899
624     3.735   1.957
625     3.761   1.906
626     3.818   1.982
627     3.843   1.917
628     3.727   1.921
629     3.809   1.930
630     3.826   1.928
631     3.805   1.976
632     3.775   1.946
633     3.857   1.954
634     3.862   1.968
635     3.895   1.982
636     3.850   1.968
637     3.968   1.980
638     4.007   2.014
639     3.960   2.006
640     3.953   1.980
641     3.956   2.038
642     4.048   2.099
643     4.045   2.060
644     3.994   2.000
645     4.027   2.000
646     4.021   2.016
